year;quarter;country;area;age;n;b
2003;1;spain;sgal;5;6366;
2003;1;spain;sgal;6;1917;
2004;1;spain;ecan;1;6859;
2004;1;spain;ecan;2;28708;
2004;1;spain;ecan;3;87331;
2004;1;spain;ecan;4;52089;
2004;1;spain;ecan;5;30463;
2004;1;spain;ecan;6;23747;
2004;1;spain;ecan;7;9073;
2004;1;spain;ecan;8;3414;
2004;1;spain;ecan;9;989;
2004;1;spain;ecan;10;989;
2004;1;spain;wcan;1;2227;
2004;1;spain;wcan;2;52591;
2004;1;spain;wcan;3;343794;
2004;1;spain;wcan;4;228373;
2004;1;spain;wcan;5;133963;
2004;1;spain;wcan;6;100841;
2004;1;spain;wcan;7;35284;
2004;1;spain;wcan;8;13106;
2004;1;spain;wcan;9;2937;
2004;1;spain;wcan;10;2937;
2004;1;spain;ngal;2;49424;
2004;1;spain;ngal;3;159583;
2004;1;spain;ngal;4;302548;
2004;1;spain;ngal;5;46458;
2004;1;spain;ngal;6;23724;
2004;1;spain;ngal;7;7405;
2004;1;spain;ngal;8;454;
2004;1;spain;sgal;1;5296;
2004;1;spain;sgal;2;65787;
2004;1;spain;sgal;3;73998;
2004;1;spain;sgal;4;171861;
2004;1;spain;sgal;5;18062;
2004;1;spain;sgal;6;5240;
2004;1;spain;sgal;7;4878;
2004;1;spain;sgal;8;2386;
2005;1;portugal;npor;1;16886755.86;284664
2005;1;portugal;npor;2;20316.38889;1604
2005;1;portugal;npor;3;2202.75;119
2005;1;portugal;swpor;1;4308259;101862
2005;1;portugal;swpor;2;391425;18559
2005;1;portugal;swpor;3;364084;21195
2005;1;portugal;swpor;4;400218;25564
2005;1;portugal;swpor;5;316598;21278
2005;1;portugal;swpor;6;146944;10726
2005;1;portugal;spor;1;230133;9594
2005;1;portugal;spor;2;356138;17745
2005;1;portugal;spor;3;168285;9330
2005;1;portugal;spor;4;156312;9489
2005;1;portugal;spor;5;136785;8690
2005;1;portugal;spor;6;109600;7439
2005;1;portugal;cad;1;689070;16696
2005;1;portugal;cad;2;398294;15699
2005;1;portugal;cad;3;68071;3083
2005;1;portugal;cad;4;44467;2324
2005;1;portugal;cad;5;21384;1279
2005;1;portugal;cad;6;8023;468
2005;1;spain;ecan;1;8464;
2005;1;spain;ecan;2;26961;
2005;1;spain;ecan;3;11468;
2005;1;spain;ecan;4;14301;
2005;1;spain;ecan;5;10301;
2005;1;spain;ecan;6;5302;
2005;1;spain;ecan;7;1253;
2005;1;spain;ecan;8;769;
2005;1;spain;ecan;9;122;
2005;1;spain;wcan;1;709;
2005;1;spain;wcan;2;19481;
2005;1;spain;wcan;3;33924;
2005;1;spain;wcan;4;63097;
2005;1;spain;wcan;5;55799;
2005;1;spain;wcan;6;28962;
2005;1;spain;wcan;7;7968;
2005;1;spain;wcan;8;4337;
2005;1;spain;wcan;9;416;
2005;1;spain;ngal;1;5196;
2005;1;spain;ngal;2;18617;
2005;1;spain;ngal;3;16323;
2005;1;spain;ngal;4;68047;
2005;1;spain;ngal;5;107703;
2005;1;spain;ngal;6;35623;
2005;1;spain;ngal;7;19964;
2005;1;spain;sgal;1;811649;
2005;1;spain;sgal;2;52953;
2005;1;spain;sgal;3;20094;
2005;1;spain;sgal;4;16739;
2005;1;spain;sgal;5;4175;
2006;1;portugal;npor;1;3472528;109413
2006;1;portugal;npor;2;5430794;222131
2006;1;portugal;npor;3;53664;3126
2006;1;portugal;npor;4;142404;8688
2006;1;portugal;npor;5;136243;8428
2006;1;portugal;npor;6;278778;18020
2006;1;portugal;swpor;1;871626;34944
2006;1;portugal;swpor;2;1448580;68862
2006;1;portugal;swpor;3;173967;9746
2006;1;portugal;swpor;4;98980;6351
2006;1;portugal;swpor;5;148560;10087
2006;1;portugal;swpor;6;114013;8451
2006;1;portugal;spor;1;39348;1605
2006;1;portugal;spor;2;204905;10081
2006;1;portugal;spor;3;178424;9751
2006;1;portugal;spor;4;64443;3950
2006;1;portugal;spor;5;160147;10130
2006;1;portugal;spor;6;68772;4677
2006;1;portugal;cad;1;2957108;73142
2006;1;portugal;cad;2;360025;11844
2006;1;portugal;cad;3;37323;1686
2006;1;portugal;cad;4;12703;608
2006;1;portugal;cad;5;25815;1356
2006;1;portugal;cad;6;5956;308
2006;1;spain;ecan;1;1543.039;
2006;1;spain;ecan;2;26971.08685;
2006;1;spain;ecan;3;15065.06239;
2006;1;spain;ecan;4;18344.35998;
2006;1;spain;ecan;5;12839.54494;
2006;1;spain;ecan;6;10824.85427;
2006;1;spain;ecan;7;5663.299273;
2006;1;spain;ecan;8;2647.889446;
2006;1;spain;ecan;9;1300.046863;
2006;1;spain;wcan;1;238.434;
2006;1;spain;wcan;2;54971.33794;
2006;1;spain;wcan;3;54985.72868;
2006;1;spain;wcan;4;76762.03234;
2006;1;spain;wcan;5;53161.20512;
2006;1;spain;wcan;6;45661.10961;
2006;1;spain;wcan;7;25549.00037;
2006;1;spain;wcan;8;11532.02042;
2006;1;spain;wcan;9;5700.072522;
2006;1;spain;ngal;2;173624.8071;
2006;1;spain;ngal;3;58388.00303;
2006;1;spain;ngal;4;19801.85901;
2006;1;spain;ngal;5;28450.90557;
2006;1;spain;ngal;6;17439.28094;
2006;1;spain;ngal;7;8326.0545;
2006;1;spain;ngal;8;382.6649167;
2006;1;spain;ngal;9;382.6649167;
2006;1;spain;sgal;1;112168.9913;
2006;1;spain;sgal;2;609342.7149;
2006;1;spain;sgal;3;5431.385333;
2006;1;spain;sgal;4;9712.836087;
2006;1;spain;sgal;5;12440.73957;
2006;1;spain;sgal;6;4005.232861;
2007;1;portugal;npor;1;404220;14017.57279
2007;1;portugal;npor;2;1089406;52987.9295
2007;1;portugal;npor;3;2315361;122078.9367
2007;1;portugal;npor;4;9308;629.7
2007;1;portugal;npor;5;59544;4122.731818
2007;1;portugal;npor;6;131526;8982.792857
2007;1;portugal;npor;7;164849;11963.75455
2007;1;portugal;npor;8;6967;552.5818182
2007;1;portugal;swpor;1;739132;22114.16718
2007;1;portugal;swpor;2;416470;19677.9065
2007;1;portugal;swpor;3;476585;27378.84211
2007;1;portugal;swpor;4;122384;7618.788158
